1,9.6059
2,9.5741
3,9.5976
4,9.5892
7,9.5763
8,9.6101
9,9.6107
10,9.6309
11,9.6611
14,9.6266
15,9.5858
16,9.5551
17,9.6070
18,9.6474
21,9.6438
22,9.6220
23,9.6326
24,9.7007
25,9.6669
28,9.6616
29,9.6649
30,9.6974
31,9.6489
32,9.6480
35,9.6903
36,9.7402
37,9.7432
38,9.7797
39,9.7800
42,9.7683
43,9.7363
44,9.7255
45,9.7378
46,9.7233
49,9.7138
50,9.7580
51,9.7684
52,9.7402
53,9.7256
56,9.7388
57,9.7707
58,9.7833
59,9.7685
60,9.7579
63,9.7980
64,9.7460
65,9.7634
66,9.7540
67,9.7510
70,9.7475
71,9.7789
72,9.7676
73,9.7581
74,9.7629
77,9.7537
78,9.7647
79,9.7213
80,9.6806
81,9.6309
84,9.6479
85,9.6740
86,9.6332
87,9.6457
88,9.6084
89,9.6101
90,9.6299
